ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0440234743,The Testament,John Grisham,1999.0,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
0971880107,Wild Animus,Rich Shapero,2004.0,Too Far,http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
0345402871,Airframe,Michael Crichton,1997.0,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
0345417623,Timeline,MICHAEL CRICHTON,2000.0,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
0446310786,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
0060168013,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
0061099686,Downtown,Anne Rivers Siddons,1995.0,HarperTorch,http://images.amazon.com/images/P/0061099686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
0553582747,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books,http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
0425182908,Isle of Dogs,Patricia Cornwell,2002.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
042518630X,Purity in Death,J.D. Robb,2002.0,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997.0,Dell,http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000.0,Tyndale House Publishers,http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg
0440225701,The Street Lawyer,JOHN GRISHAM,1999.0,Dell,http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
0671623249,LONESOME DOVE,Larry McMurtry,1986.0,Pocket,http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg
042511774X,Breathing Lessons,Anne Tyler,1994.0,Berkley Publishing Group,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg
0804106304,The Joy Luck Club,Amy Tan,1994.0,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
0140067477,The Tao of Pooh,Benjamin Hoff,1983.0,Penguin Books,http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
0345465083,Seabiscuit,LAURA HILLENBRAND,2003.0,Ballantine Books,http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson,http://images.amazon.com/images/P/1558531025.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg
0441783589,Starship Troopers,Robert A. Heinlein,1987.0,Ace Books,http://images.amazon.com/images/P/0441783589.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988.0,Laurel Leaf,http://images.amazon.com/images/P/0394895894.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394895894.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg
0316769487,The Catcher in the Rye,J.D. Salinger,1991.0,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994.0,Random House,http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998.0,Pocket,http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000.0,Warner Books,http://images.amazon.com/images/P/0446677450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg
0451166892,The Pillars of the Earth,Ken Follett,1996.0,Signet Book,http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995.0,Vintage,http://images.amazon.com/images/P/067976397X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg
