User-ID,Location,Age
243,"arden hills, minnesota, usa",
254,"minneapolis, minnesota, usa",24.0
507,"dumas, arkansas, usa",
638,"san diego, california, usa",20.0
805,"sonoma, california, usa",34.0
882,"berkeley, california, usa",23.0
929,"king of prussia, ,",36.0
1131,"berkeley, ,",22.0
1424,"north avoca, new south wales, australia",
1435,"st. louis, missouri, usa",36.0
1733,"independence, west virginia, usa",30.0
1848,"bellingham, washington, usa",22.0
1903,"hualien, taiwan, taiwan",36.0
2033,"omaha, nebraska, usa",27.0
2110,"charlotte, north carolina, usa",
2276,"niskayuna, new york, usa",46.0
2358,"bryan, texas, usa",23.0
2766,"frisco, texas, usa",42.0
2793,"jefferson, georgia, usa",34.0
2891,"beaverton, oregon, usa",
2977,"richland, washington, usa",25.0
3145,"austin, texas, usa",34.0
3167,"milwaukee, wisconsin, usa",42.0
3363,"knoxville, tennessee, usa",29.0
3371,"groveland, massachusetts, usa",25.0
3373,"elk grove, california, usa",30.0
3556,"bismarck, north dakota, usa",68.0
3827,"orlando, florida, usa",23.0
4017,"new orleans, louisiana, usa",48.0
4157,"birmingham, alabama, usa",39.0
4622,"norfolk, virginia, usa",18.0
5439,"houston, texas, usa",66.0
5476,"chester, ,",
5483,"bayan lepas, penang, malaysia",20.0
5539,"austin, texas, usa",32.0
5582,"seattle, washington, usa",26.0
5609,"oradea, bihor, romania",25.0
5903,"vienna, vienna, austria",25.0
6073,"houston, texas, usa",28.0
6242,"calgary, alberta, canada",
6251,"wahiawa, hawaii, usa",32.0
6323,"wilmington, north carolina, usa",35.0
6543,"strafford, missouri, usa",34.0
6563,"burien, washington, usa",31.0
6575,"seattle, washington, usa",
6772,"calgary, ,",
6900,"sunnyvale, california, usa",25.0
7125,"apo, ae, usa",28.0
7158,"omaha, nebraska, usa",30.0
7210,"rothesay, new brunswick, canada",
7283,"saint marys, georgia, usa",30.0
7286,"pasco, washington, usa",28.0
7312,"walnut ridge, arkansas, usa",23.0
7346,"sunnyvale, california, usa",49.0
7569,"tulsa, , usa",22.0
7887,"altoona, pennsylvania, usa",23.0
7915,"st. paul, minnesota, usa",
8019,"toronto, ontario, canada",
8066,"chicago, illinois, usa",
8067,"owings mills, maryland, usa",26.0
8234,"colorado springs, colorado, usa",44.0
8245,"torrance, california, usa",31.0
8253,"tulsa, oklahoma, usa",26.0
8284,"manchester, kentucky, usa",28.0
8362,"los angeles, california, usa",28.0
8454,"auburndale, massachusetts, usa",
8487,"carrollton, texas, usa",30.0
8681,"orlando, florida, usa",34.0
8734,"chula vista, california, usa",
8870,"austin, texas, usa",45.0
8936,"elizabeth city, north carolina, usa",18.0
9141,"durango, colorado, usa",65.0
9417,"whitby, ontario, canada",26.0
9613,"collings lakes, new jersey, usa",34.0
9747,"o`fallon, missouri, usa",
9856,"glendale, colorado, usa",22.0
9908,"woodstock, georgia, usa",36.0
10030,"pittsburgh, pennsylvania, usa",66.0
10118,"minneapolis, minnesota, usa",44.0
